system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,NDVI,Rainfall,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,Soil_pH,.geo,Season,ADM2_NAME_clean,dominant_crop
000200000000000002ba,115,India,1508,Tamil Nadu,70245,Karur,NO,3000,0.348042857142857,0.536000028252602,Member State,1996,0.238860504012,3.92636313878,73,"{""type"":""Point"",""coordinates"":[78.11840965817103,10.831814271415904]}",Kharif,karur,COTTON
000200000000000002bb,115,India,1508,Tamil Nadu,70246,Madurai,NO,3000,0.396014285714286,0.437000025063753,Member State,1997,0.304005356752,4.39035637272,76,"{""type"":""Point"",""coordinates"":[77.98944001482889,9.909980316717489]}",Kharif,madurai,PADDY
000200000000000002bc,115,India,1508,Tamil Nadu,70247,Nagapattinam,NO,3000,0.505642857142857,0.471000030636787,Member State,1997,0.406509471093,5.4647335396,67,"{""type"":""Point"",""coordinates"":[79.63338996271419,10.765238912787089]}",Kharif,nagapattinam,PADDY
000200000000000002bd,115,India,1508,Tamil Nadu,70248,Namakkal,NO,3000,0.4181,0.561000026762486,Member State,1997,0.281601794604,3.49490094095,72,"{""type"":""Point"",""coordinates"":[78.12246659662145,11.305292265419643]}",Kharif,namakkal,MAIZE
000200000000000002be,115,India,1508,Tamil Nadu,70249,Perambalur,NO,3000,0.479542857142857,0.547000020742416,Member State,2000,0.145065756445,2.51442935519,73,"{""type"":""Point"",""coordinates"":[78.8777618615482,11.26046922156273]}",Kharif,perambalur,PADDY
000200000000000002bf,115,India,1508,Tamil Nadu,70250,Theni,NO,3000,0.415885714285714,0.422000013291836,Member State,1997,0.234535578002,2.88847241866,68,"{""type"":""Point"",""coordinates"":[77.4238789936379,9.880687566284006]}",Kharif,theni,PADDY
000200000000000002c0,115,India,1508,Tamil Nadu,70251,Thiruvallur,NO,3000,0.509828571428572,0.939000055193901,Member State,1999,0.270349132277,5.26775872002,69,"{""type"":""Point"",""coordinates"":[79.92602574267039,13.230708639852937]}",Kharif,tiruvallur,PADDY
000200000000000002c1,115,India,1508,Tamil Nadu,70253,Tiruvannamalai,NO,3000,0.640742857142857,0.921000048518181,Member State,1990,0.514078546949,5.95693190757,70,"{""type"":""Point"",""coordinates"":[79.15420093894075,12.418635423355264]}",Kharif,tiruvannamalai,PADDY
000200000000000002c2,115,India,1508,Tamil Nadu,70254,Vellore,NO,3000,0.7699,0.875000029802322,Member State,1990,0.50516866991,6.27451305635,65,"{""type"":""Point"",""coordinates"":[78.99775851803234,12.800712166390312]}",Kharif,vellore,GROUNDNUT
000200000000000002c3,115,India,1508,Tamil Nadu,70255,Villupuram,NO,3000,0.570214285714286,0.709000051021576,Member State,1994,0.60588744979,6.63325505336,70,"{""type"":""Point"",""coordinates"":[79.28475680597683,11.960558090339307]}",Kharif,villupuram,PADDY
000200000000000002a7,115,India,1508,Tamil Nadu,17866,Thoothukudi,NO,3000,0.616677777777778,1.02900003548712,Member State,1000,0.389137645168,4.37489792079,77,"{""type"":""Point"",""coordinates"":[77.98874456091704,8.87610486845901]}",Rabi,thoothukudi,COCONUT
000200000000000002a8,115,India,1508,Tamil Nadu,17867,Coimbatore,NO,3000,0.533422222222222,0.683000043034554,Member State,1000,0.612298710605,5.593131072,74,"{""type"":""Point"",""coordinates"":[77.07198582140016,10.836509495670988]}",Rabi,coimbatore,BANANA
